method,image,text,vdrop,vincr,tdrop,tincr
lciba,images/bird.jpg,an ant insect on a surface,0.47103557735681534,0.0,0.8839752525091171,0.0
libragrad,images/bird.jpg,an ant insect on a surface,0.2934478223323822,0.0,0.0,0.0
fusion,images/bird.jpg,an ant insect on a surface,0.0,100.0,0.0058669596910476685,0.0
m2ib,images/flower.jpg,a sunflower in a field,0.0,100.0,0.0,0.0
lciba,images/flower.jpg,a sunflower in a field,0.0,100.0,1.2304771691560745,0.0
libragrad,images/flower.jpg,a sunflower in a field,0.0,100.0,0.0,0.0
fusion,images/flower.jpg,a sunflower in a field,0.4384332336485386,0.0,0.0,0.0
m2ib,images/mountain.jpg,a mountain landscape,0.896301306784153,0.0,2.1491002291440964,0.0
lciba,images/mountain.jpg,a mountain landscape,3.0354103073477745,0.0,2.0781835541129112,0.0
libragrad,images/mountain.jpg,a mountain landscape,1.5862040221691132,0.0,0.0,0.0
fusion,images/mountain.jpg,a mountain landscape,2.617376297712326,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000529122.jpg,The people are selecting their donuts at the counter.,4.1501980274915695,0.0,0.0,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000529122.jpg,The people are selecting their donuts at the counter.,9.064123034477234,0.0,1.6572929918766022,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000529122.jpg,The people are selecting their donuts at the counter.,4.4289808720350266,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000529122.jpg,The people are selecting their donuts at the counter.,5.436630547046661,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000301421.jpg,"Computer desk setup with monitor, wireless keyboard, and other electronic devices. ",0.0,100.0,0.018894951790571213,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000301421.jpg,"Computer desk setup with monitor, wireless keyboard, and other electronic devices. ",2.9650989919900894,0.0,0.0,100.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000301421.jpg,"Computer desk setup with monitor, wireless keyboard, and other electronic devices. ",0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000301421.jpg,"Computer desk setup with monitor, wireless keyboard, and other electronic devices. ",0.28909072279930115,0.0,0.016063032671809196,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000224807.jpg,Men sit around a table sharing a meal.,0.0,100.0,0.0851980410516262,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000224807.jpg,Men sit around a table sharing a meal.,1.9837163388729095,0.0,1.871710643172264,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000224807.jpg,Men sit around a table sharing a meal.,0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000224807.jpg,Men sit around a table sharing a meal.,0.4170771688222885,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000303653.jpg,two ladies riding horses there's a reflection of one of them in a mirror,0.17171446233987808,0.0,0.029235519468784332,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000303653.jpg,two ladies riding horses there's a reflection of one of them in a mirror,1.589445024728775,0.0,0.0,100.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000303653.jpg,two ladies riding horses there's a reflection of one of them in a mirror,3.0923129990696907,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000303653.jpg,two ladies riding horses there's a reflection of one of them in a mirror,0.5438422784209251,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000222825.jpg,A kitchen with a stove top oven next to a white fridge.,2.2556617856025696,0.0,1.5127815306186676,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000222825.jpg,A kitchen with a stove top oven next to a white fridge.,7.565240561962128,0.0,1.740725338459015,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000222825.jpg,A kitchen with a stove top oven next to a white fridge.,3.195580840110779,0.0,0.0,100.0
fusion,/media/crk/vol3/rt/coco/val2017/000000222825.jpg,A kitchen with a stove top oven next to a white fridge.,5.48357181251049,0.0,0.0673733651638031,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000473219.jpg,A man and woman look into each others eyes while getting married.,2.8297116979956627,0.0,0.09409338235855103,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000473219.jpg,A man and woman look into each others eyes while getting married.,5.435222014784813,0.0,2.7761274948716164,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000473219.jpg,A man and woman look into each others eyes while getting married.,3.2679930329322815,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000473219.jpg,A man and woman look into each others eyes while getting married.,3.9201706647872925,0.0,2.330000512301922,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000209222.jpg,Black and white photograph of a man sitting at a bench.,0.12590698897838593,0.0,0.12826398015022278,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000209222.jpg,Black and white photograph of a man sitting at a bench.,0.0,100.0,1.5060901641845703,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000209222.jpg,Black and white photograph of a man sitting at a bench.,0.9474189952015877,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000209222.jpg,Black and white photograph of a man sitting at a bench.,0.6117498502135277,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000435081.jpg,a collection of various food pictures mostly of desert type items,0.754435732960701,0.0,0.11101216077804565,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000435081.jpg,a collection of various food pictures mostly of desert type items,6.131090596318245,0.0,1.4332054182887077,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000435081.jpg,a collection of various food pictures mostly of desert type items,0.15040189027786255,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000435081.jpg,a collection of various food pictures mostly of desert type items,1.5177343040704727,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000025393.jpg,a couple of men in ties are outside,1.0660555213689804,0.0,1.650940626859665,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000025393.jpg,a couple of men in ties are outside,5.009789764881134,0.0,1.9628239795565605,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000025393.jpg,a couple of men in ties are outside,0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000025393.jpg,a couple of men in ties are outside,0.8585076779127121,0.0,1.6711704432964325,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000311392.jpg,A black and white cow at market in her stall.,0.0,100.0,0.07346346974372864,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000311392.jpg,A black and white cow at market in her stall.,8.233368396759033,0.0,2.3508820682764053,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000311392.jpg,A black and white cow at market in her stall.,0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000311392.jpg,A black and white cow at market in her stall.,3.8801103830337524,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000578792.jpg,A person is leaning low on their motorcycle on the tracks.,1.2715185061097145,0.0,0.09540170431137085,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000578792.jpg,A person is leaning low on their motorcycle on the tracks.,0.0,100.0,0.5246561020612717,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000578792.jpg,A person is leaning low on their motorcycle on the tracks.,1.4439119026064873,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000578792.jpg,A person is leaning low on their motorcycle on the tracks.,0.0,100.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000430961.jpg,A baseball player preparing to throw a pitch during a game.,1.427200809121132,0.0,1.1129673570394516,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000430961.jpg,A baseball player preparing to throw a pitch during a game.,4.649808257818222,0.0,1.2675493955612183,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000430961.jpg,A baseball player preparing to throw a pitch during a game.,0.6463645026087761,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000430961.jpg,A baseball player preparing to throw a pitch during a game.,1.1240573599934578,0.0,1.1093493551015854,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000210032.jpg,Two birds preparing to eat food off of a plate that was left on a table outside by the ocean.,2.354300394654274,0.0,0.11023320257663727,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000210032.jpg,Two birds preparing to eat food off of a plate that was left on a table outside by the ocean.,6.546095758676529,0.0,0.5338013172149658,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000210032.jpg,Two birds preparing to eat food off of a plate that was left on a table outside by the ocean.,3.264041990041733,0.0,0.04279874265193939,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000210032.jpg,Two birds preparing to eat food off of a plate that was left on a table outside by the ocean.,3.1933672726154327,0.0,0.0,100.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000562229.jpg,a child riding a skate board on a city street ,0.9533915668725967,0.0,0.6128756329417229,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000562229.jpg,a child riding a skate board on a city street ,0.1294199377298355,0.0,0.6892264820635319,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000562229.jpg,a child riding a skate board on a city street ,1.735059730708599,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000562229.jpg,a child riding a skate board on a city street ,0.0,100.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000450758.jpg,A herd of giraffe running across a field.,1.4920199289917946,0.0,1.1108065955340862,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000450758.jpg,A herd of giraffe running across a field.,0.22178934887051582,0.0,1.0236064903438091,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000450758.jpg,A herd of giraffe running across a field.,0.058483704924583435,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000450758.jpg,A herd of giraffe running across a field.,0.0,100.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000225946.jpg,A train traveling through the countryside next to a dirt road.,3.5273555666208267,0.0,0.08060410618782043,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000225946.jpg,A train traveling through the countryside next to a dirt road.,3.881721943616867,0.0,0.8397951722145081,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000225946.jpg,A train traveling through the countryside next to a dirt road.,4.449556767940521,0.0,0.0,100.0
fusion,/media/crk/vol3/rt/coco/val2017/000000225946.jpg,A train traveling through the countryside next to a dirt road.,0.21576322615146637,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000024021.jpg,A class picture of the Goodmayes Boys' School in April of 1929.,2.772941067814827,0.0,0.0,100.0
lciba,/media/crk/vol3/rt/coco/val2017/000000024021.jpg,A class picture of the Goodmayes Boys' School in April of 1929.,2.85082645714283,0.0,1.3698320835828781,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000024021.jpg,A class picture of the Goodmayes Boys' School in April of 1929.,2.110482007265091,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000024021.jpg,A class picture of the Goodmayes Boys' School in April of 1929.,1.3125086203217506,0.0,0.007160380482673645,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000054123.jpg,The zebras are standing around and grazing in the pasture.,0.8111140690743923,0.0,0.896858237683773,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000054123.jpg,The zebras are standing around and grazing in the pasture.,2.5948934257030487,0.0,0.9062035009264946,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000054123.jpg,The zebras are standing around and grazing in the pasture.,1.908021792769432,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000054123.jpg,The zebras are standing around and grazing in the pasture.,2.38003171980381,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000270402.jpg,Two gray elephants standing next to each other on a road.,0.0,100.0,0.04545021802186966,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000270402.jpg,Two gray elephants standing next to each other on a road.,2.358664944767952,0.0,0.0,100.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000270402.jpg,Two gray elephants standing next to each other on a road.,0.012082047760486603,0.0,0.0,100.0
fusion,/media/crk/vol3/rt/coco/val2017/000000270402.jpg,Two gray elephants standing next to each other on a road.,0.7232796400785446,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000180878.jpg,A table topped with a smart phone next to a white bag.,0.00023245811462402344,0.0,1.7717454582452774,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000180878.jpg,A table topped with a smart phone next to a white bag.,5.363978445529938,0.0,1.865905150771141,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000180878.jpg,A table topped with a smart phone next to a white bag.,0.7245078682899475,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000180878.jpg,A table topped with a smart phone next to a white bag.,1.4179408550262451,0.0,0.05727633833885193,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000163117.jpg,A large group of people in a field with kites.,0.23153051733970642,0.0,1.522907242178917,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000163117.jpg,A large group of people in a field with kites.,0.0,100.0,1.6665570437908173,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000163117.jpg,A large group of people in a field with kites.,0.8984960615634918,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000163117.jpg,A large group of people in a field with kites.,0.7022924721240997,0.0,0.0,100.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000375430.jpg,A stack of pancakes that are sitting on a plate.,0.3800485283136368,0.0,0.08005853742361069,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000375430.jpg,A stack of pancakes that are sitting on a plate.,4.018666595220566,0.0,0.8115114644169807,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000375430.jpg,A stack of pancakes that are sitting on a plate.,0.45281071215867996,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000375430.jpg,A stack of pancakes that are sitting on a plate.,3.3140361309051514,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000263644.jpg,The antique bed has elaborate wood decoration on the frame..,0.0,100.0,0.028907693922519684,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000263644.jpg,The antique bed has elaborate wood decoration on the frame..,0.0,100.0,0.0,100.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000263644.jpg,The antique bed has elaborate wood decoration on the frame..,0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000263644.jpg,The antique bed has elaborate wood decoration on the frame..,0.0,100.0,0.0,100.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000433774.jpg,A parking meter sitting next to a tall tree.,0.0,100.0,0.0,100.0
lciba,/media/crk/vol3/rt/coco/val2017/000000433774.jpg,A parking meter sitting next to a tall tree.,2.2335372865200043,0.0,3.6856889724731445,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000433774.jpg,A parking meter sitting next to a tall tree.,0.26194220408797264,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000433774.jpg,A parking meter sitting next to a tall tree.,2.4153411388397217,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000162858.jpg,cars setting at traffic light leading to capitol building,2.0851880311965942,0.0,0.0,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000162858.jpg,cars setting at traffic light leading to capitol building,5.56112602353096,0.0,1.4299219474196434,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000162858.jpg,cars setting at traffic light leading to capitol building,2.609829604625702,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000162858.jpg,cars setting at traffic light leading to capitol building,3.578253462910652,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000172396.jpg,A pizza being made within the oven ,0.0,100.0,0.0,100.0
lciba,/media/crk/vol3/rt/coco/val2017/000000172396.jpg,A pizza being made within the oven ,0.9950198233127594,0.0,0.0,100.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000172396.jpg,A pizza being made within the oven ,0.25343820452690125,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000172396.jpg,A pizza being made within the oven ,0.606836099177599,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000540932.jpg,Two people standing on a beach next to the ocean.,0.8074991405010223,0.0,0.0,100.0
lciba,/media/crk/vol3/rt/coco/val2017/000000540932.jpg,Two people standing on a beach next to the ocean.,3.979743644595146,0.0,0.0,100.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000540932.jpg,Two people standing on a beach next to the ocean.,1.2859610840678215,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000540932.jpg,Two people standing on a beach next to the ocean.,1.586339995265007,0.0,0.0,100.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000182923.jpg,A woman swinging a tennis racquet on a tennis court.,0.0,100.0,0.0,100.0
lciba,/media/crk/vol3/rt/coco/val2017/000000182923.jpg,A woman swinging a tennis racquet on a tennis court.,3.7224754691123962,0.0,0.0,100.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000182923.jpg,A woman swinging a tennis racquet on a tennis court.,0.8627798408269882,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000182923.jpg,A woman swinging a tennis racquet on a tennis court.,2.2804226726293564,0.0,0.0,100.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000176901.jpg,Three people in the snow trying to walk up the hill in skiis.,3.027646616101265,0.0,0.0,100.0
lciba,/media/crk/vol3/rt/coco/val2017/000000176901.jpg,Three people in the snow trying to walk up the hill in skiis.,3.1925998628139496,0.0,0.0,100.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000176901.jpg,Three people in the snow trying to walk up the hill in skiis.,2.9388073831796646,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000176901.jpg,Three people in the snow trying to walk up the hill in skiis.,2.9861275106668472,0.0,0.0,100.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000251119.jpg,"The lunchbox has a cold sandwich, strawberry yogurt and orange juice. ",0.0,100.0,0.052439793944358826,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000251119.jpg,"The lunchbox has a cold sandwich, strawberry yogurt and orange juice. ",7.892180979251862,0.0,0.9548798203468323,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000251119.jpg,"The lunchbox has a cold sandwich, strawberry yogurt and orange juice. ",0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000251119.jpg,"The lunchbox has a cold sandwich, strawberry yogurt and orange juice. ",1.4240056276321411,0.0,0.0,100.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000483050.jpg,A large bed with two lamps on either side lighting the room. ,0.0,100.0,0.7784456014633179,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000483050.jpg,A large bed with two lamps on either side lighting the room. ,0.0,100.0,0.7452957332134247,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000483050.jpg,A large bed with two lamps on either side lighting the room. ,0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000483050.jpg,A large bed with two lamps on either side lighting the room. ,0.0,100.0,0.0199098140001297,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000484978.jpg,A woman sitting at a table while eating food.,0.0,100.0,0.0,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000484978.jpg,A woman sitting at a table while eating food.,0.8863125927746296,0.0,0.7863632403314114,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000484978.jpg,A woman sitting at a table while eating food.,0.2718108706176281,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000484978.jpg,A woman sitting at a table while eating food.,0.5711390636861324,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000088250.jpg,Two elephants with their trunks attached to each other,2.0941242575645447,0.0,0.10851919651031494,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000088250.jpg,Two elephants with their trunks attached to each other,4.0155328810215,0.0,0.3431057557463646,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000088250.jpg,Two elephants with their trunks attached to each other,1.5594054013490677,0.0,0.24949032813310623,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000088250.jpg,Two elephants with their trunks attached to each other,2.7429603040218353,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000459500.jpg,A clock between two bronze flamingo statues on a black box.,0.0,100.0,2.0800599828362465,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000459500.jpg,A clock between two bronze flamingo statues on a black box.,5.2393607795238495,0.0,2.1424412727355957,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000459500.jpg,A clock between two bronze flamingo statues on a black box.,1.0534271597862244,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000459500.jpg,A clock between two bronze flamingo statues on a black box.,1.1268163099884987,0.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000502737.jpg,A person holding up a chocolate doughnut with a face drawn on it.,0.3710255026817322,0.0,1.7577067017555237,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000502737.jpg,A person holding up a chocolate doughnut with a face drawn on it.,8.559524267911911,0.0,2.1008647978305817,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000502737.jpg,A person holding up a chocolate doughnut with a face drawn on it.,2.0004969090223312,0.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000502737.jpg,A person holding up a chocolate doughnut with a face drawn on it.,6.978870183229446,0.0,1.6930140554904938,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000002431.jpg,A plate on a wooden table full of bread.,0.0,100.0,0.03960654139518738,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000002431.jpg,A plate on a wooden table full of bread.,5.57170957326889,0.0,0.3333747386932373,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000002431.jpg,A plate on a wooden table full of bread.,0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000002431.jpg,A plate on a wooden table full of bread.,0.0,100.0,0.008312612771987915,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000338304.jpg,A bunch of sheep make their way through the crowded city street.,0.0,100.0,0.0,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000338304.jpg,A bunch of sheep make their way through the crowded city street.,2.0411860197782516,0.0,1.95058174431324,0.0
libragrad,/media/crk/vol3/rt/coco/val2017/000000338304.jpg,A bunch of sheep make their way through the crowded city street.,0.0,100.0,0.0,0.0
fusion,/media/crk/vol3/rt/coco/val2017/000000338304.jpg,A bunch of sheep make their way through the crowded city street.,0.0,100.0,0.0,0.0
m2ib,/media/crk/vol3/rt/coco/val2017/000000183049.jpg,A book shelf filled with lots of colorful books.,0.0,100.0,0.05658548325300217,0.0
lciba,/media/crk/vol3/rt/coco/val2017/000000183049.jpg,A book shelf filled with lots of colorful books.,3.21442186832428,0.0,3.099413216114044,0.0
